RA,DEC
315.90303127,-1.22853775
324.56071869,-0.78378343
312.71737669,-0.32570262
313.83984976,-0.4135987
317.92963058,-0.24886486
323.21666425,-0.31124927
320.20447375,0.04657901
312.35308771,0.90690427
317.3134118,0.9846984
319.61731336,-0.61063802
313.62689115,-0.13912979
314.05693127,-0.09139024
310.31152523,1.17985096
322.82414723,-0.87268674
334.16778905,-0.96662009
349.37333701,-0.85105715
350.14659574,-0.88091039
355.18465984,-0.88746164
13.72317339,-0.98572862
340.30887419,-0.62088288
347.45617579,-0.61931291
2.52600224,-0.43848729
2.91453547,-0.47727587
4.87781586,-0.60173454
350.53326551,-0.05391309
351.09622578,-0.10845746
4.82103321,-0.06986966
10.34943802,-0.06499808
320.54331074,0.39147465
320.55068352,0.242498
324.9864332,0.32326265
4.47589572,0.32928316
7.40989592,0.41039679
13.24084299,0.36875388
13.23838634,0.38817632
334.48265101,0.78606604
357.97015348,0.75496117
12.78813464,0.77450462
332.4797992,1.20725707
340.611107,1.19526158
353.46591441,1.14459036
1.12988297,1.24095354
5.75733301,1.18332087
7.8498241,1.13980524
13.25281459,1.10940441
15.98824704,-0.95475943
39.63721031,-0.8674682
40.30388682,-0.87692516
41.79604793,-1.04392523
21.69725608,-0.57926211
28.99192381,-0.44447567
29.56731307,-0.52251278
42.75173338,-0.45412807
49.02487326,-0.44014591
18.48793696,-0.19304602
43.7986916,-0.18526269
43.79562712,-0.17855612
49.33358328,-0.07657948
59.38433535,-0.01318063
35.62383862,0.38266795
35.9008239,0.22568589
56.52864473,0.39030382
17.01473581,1.08359465
22.70634887,1.24257231
30.15045261,1.09426557
33.00173893,1.22566553
32.99955837,1.21811677
43.7105505,1.05749817
47.61727161,1.09767588
57.24882984,1.17138658
57.28714169,1.16288509
329.60404503,-0.73955435
332.94775012,0.11385538
335.79961532,0.07146759
333.08528603,0.56058676
330.66285969,0.92511448
6.9572406,-1.19999098
47.88866904,-1.24444904
350.4659194,-0.69077082
7.55598085,-0.70792157
19.68065691,-0.7018729
23.71654116,-0.64843374
28.49663243,-0.75028588
31.61627334,-0.65105271
37.86087041,-0.79305894
45.26369336,-0.74346511
350.08820412,-0.30534217
10.14620577,-0.2936832
25.19777541,-0.21828524
26.26361967,-0.30002715
43.35536748,-0.23240886
46.34701397,-0.24210914
46.55742529,-0.34158951
7.43706921,0.16975985
8.31175659,0.20102342
20.33884292,0.09038385
23.01298511,0.20496893
28.53987887,0.12532287
30.75021824,0.0272094
53.31571279,0.02941803
2.93365447,0.52370466
8.90190144,0.54375138
16.95728736,0.61161394
40.88832718,0.54589242
41.90216458,0.4511288
37.08254963,0.88954541
